chord_ID,chord_HTML,probability,child_path
1,I,0.299,"1,2,5,1"
4,IV,0.234,"1,2,5,4"
6,vi,0.20500000000000002,"1,2,5,6"
57,V<sup>7</sup>,0.053,"1,2,5,57"
4,IV,0.79,"1,2,16,4"
6,vi,0.44,"4,1,5,6"
4,IV,0.229,"4,1,5,4"
1,I,0.128,"4,1,5,1"
2,ii,0.095,"4,1,5,2"
1,I,0.552,"4,1,4,1"
5,V,0.192,"4,1,4,5"
6,vi,0.084,"4,1,4,6"
5,V,0.401,"4,1,6,5"
4,IV,0.319,"4,1,6,4"
3,iii,0.082,"4,1,6,3"
1,I,0.07100000000000001,"4,1,6,1"
6,vi,0.468,"4,1,2,6"
5,V,0.146,"4,1,2,5"
4,IV,0.10300000000000001,"4,1,2,4"
3,iii,0.097,"4,1,2,3"
4,IV,0.28500000000000003,"4,5,6,4"
5,V,0.218,"4,5,6,5"
1,I,0.156,"4,5,6,1"
3,iii,0.081,"4,5,6,3"
4,IV,0.273,"4,5,1,4"
5,V,0.195,"4,5,1,5"
6,vi,0.169,"4,5,1,6"
5,V,0.511,"4,5,4,5"
1,I,0.20400000000000001,"4,5,4,1"
3,iii,0.07100000000000001,"4,5,4,3"
6,vi,0.052000000000000005,"4,5,4,6"
6,vi,0.6880000000000001,"4,5,3,6"
4,IV,0.2,"4,5,3,4"
4,IV,0.363,"4,6,5,4"
1,I,0.265,"4,6,5,1"
2,ii,0.091,"4,6,5,2"
3,iii,0.085,"4,6,5,3"
6,vi,0.083,"4,6,5,6"
5,V,0.425,"4,6,1,5"
4,IV,0.254,"4,6,1,4"
3,iii,0.101,"4,6,1,3"
2,ii,0.092,"4,6,1,2"
6,vi,0.48,"4,6,4,6"
1,I,0.223,"4,6,4,1"
5,V,0.145,"4,6,4,5"
5,V,0.5630000000000001,"6,4,1,5"
6,vi,0.106,"6,4,1,6"
2,ii,0.07,"6,4,1,2"
56,V<sup>6</sup>,0.054,"6,4,1,56"
6,vi,0.395,"6,4,5,6"
1,I,0.296,"6,4,5,1"
3,iii,0.099,"6,4,5,3"
2,ii,0.067,"6,4,5,2"
5,V,0.294,"6,4,2,5"
6,vi,0.16,"6,4,2,6"
5/6,V/vi,0.16,"6,4,2,5/6"
4,IV,0.125,"6,4,2,4"
3,iii,0.085,"6,4,2,3"
1,I,0.077,"6,4,2,1"
4,IV,0.45,"6,4,6,4"
5,V,0.241,"6,4,6,5"
1,I,0.067,"6,4,6,1"
5,V,0.261,"6,5,4,5"
1,I,0.23700000000000002,"6,5,4,1"
6,vi,0.156,"6,5,4,6"
3,iii,0.095,"6,5,4,3"
2,ii,0.083,"6,5,4,2"
4,IV,0.399,"6,5,1,4"
5,V,0.152,"6,5,1,5"
6,vi,0.108,"6,5,1,6"
2,ii,0.1,"6,5,1,2"
3,iii,0.07100000000000001,"6,5,1,3"
5,V,0.515,"6,5,6,5"
1,I,0.127,"6,5,6,1"
4,IV,0.09,"6,5,6,4"
3,iii,0.066,"6,5,6,3"
2,ii,0.052000000000000005,"6,5,6,2"
4,IV,0.364,"6,5,2,4"
1,I,0.202,"6,5,2,1"
6,vi,0.194,"6,5,2,6"
3,iii,0.084,"6,5,2,3"
5,V,0.069,"6,5,2,5"
4,IV,0.552,"6,5,3,4"
6,vi,0.232,"6,5,3,6"
2,ii,0.077,"6,5,3,2"
4,IV,0.299,"6,1,5,4"
6,vi,0.248,"6,1,5,6"
2,ii,0.224,"6,1,5,2"
1,I,0.056,"6,1,5,1"
5,V,0.421,"6,1,4,5"
6,vi,0.149,"6,1,4,6"
1,I,0.11900000000000001,"6,1,4,1"
2,ii,0.11,"6,1,4,2"
5/6,V/vi,0.057,"6,1,4,5/6"
1,I,0.445,"6,1,6,1"
5,V,0.186,"6,1,6,5"
4,IV,0.135,"6,1,6,4"
2,ii,0.067,"6,1,6,2"
3,iii,0.05,"6,1,6,3"
4,IV,0.301,"6,1,2,4"
6,vi,0.224,"6,1,2,6"
3,iii,0.136,"6,1,2,3"
5,V,0.101,"6,1,2,5"
1,I,0.092,"6,1,2,1"
4,IV,0.506,"6,1,3,4"
6,vi,0.18,"6,1,3,6"
5,V,0.134,"6,1,3,5"
2,ii,0.05,"6,1,3,2"
1,I,0.65,"6,2,5,1"
4,IV,0.088,"6,2,5,4"
6,vi,0.078,"6,2,5,6"
2,ii,0.34800000000000003,"6,2,6,2"
3,iii,0.216,"6,2,6,3"
5/6,V/vi,0.059000000000000004,"6,2,6,5/6"
4,IV,0.057,"6,2,6,4"
5,V,0.057,"6,2,6,5"
5,V,0.332,"6,2,1,5"
2,ii,0.14200000000000002,"6,2,1,2"
4,IV,0.112,"6,2,1,4"
6,vi,0.11,"6,2,1,6"
5/6,V/vi,0.075,"6,2,1,5/6"
5,V,0.356,"6,2,4,5"
1,I,0.218,"6,2,4,1"
5/6,V/vi,0.126,"6,2,4,5/6"
3,iii,0.074,"6,2,4,3"
6,vi,0.064,"6,2,4,6"
6,vi,0.464,"6,2,3,6"
4,IV,0.273,"6,2,3,4"
5,V,0.08700000000000001,"6,2,3,5"
5,V,0.361,"6,3,4,5"
1,I,0.28400000000000003,"6,3,4,1"
2,ii,0.10300000000000001,"6,3,4,2"
6,vi,0.078,"6,3,4,6"
3,iii,0.559,"6,3,6,3"
2,ii,0.15,"6,3,6,2"
5,V,0.10400000000000001,"6,3,6,5"
4,IV,0.07200000000000001,"6,3,6,4"
6,vi,0.384,"6,3,5,6"
1,I,0.255,"6,3,5,1"
4,IV,0.14200000000000002,"6,3,5,4"
2,ii,0.116,"6,3,5,2"
6,vi,0.312,"6,3,2,6"
5,V,0.23900000000000002,"6,3,2,5"
3,iii,0.094,"6,3,2,3"
4,IV,0.094,"6,3,2,4"
1,I,0.058,"6,3,2,1"
5/6,V/vi,0.051000000000000004,"6,3,2,5/6"
1,I,0.534,"5,6,4,1"
5,V,0.329,"5,6,4,5"
4,IV,0.417,"5,6,5,4"
6,vi,0.307,"5,6,5,6"
1,I,0.113,"5,6,5,1"
4,IV,0.42,"5,6,1,4"
5,V,0.268,"5,6,1,5"
2,ii,0.064,"5,6,1,2"
4,IV,0.609,"5,6,3,4"
5,V,0.122,"5,6,3,5"
6,vi,0.117,"5,6,3,6"
5,V,0.352,"5,1,4,5"
1,I,0.245,"5,1,4,1"
6,vi,0.149,"5,1,4,6"
2,ii,0.057,"5,1,4,2"
4,IV,0.322,"5,1,5,4"
1,I,0.281,"5,1,5,1"
6,vi,0.246,"5,1,5,6"
4,IV,0.443,"5,1,6,4"
2,ii,0.164,"5,1,6,2"
5,V,0.149,"5,1,6,5"
3,iii,0.08,"5,1,6,3"
3,iii,0.23700000000000002,"5,1,2,3"
6,vi,0.179,"5,1,2,6"
4,IV,0.17200000000000001,"5,1,2,4"
1,I,0.09,"5,1,2,1"
5,V,0.084,"5,1,2,5"
16,I<sup>6</sup>,0.078,"5,1,2,16"
6,vi,0.639,"5,1,56,6"
67,vi<sup>7</sup>,0.09,"5,1,56,67"
46,IV<sup>6</sup>,0.074,"5,1,56,46"
4,IV,0.066,"5,1,56,4"
5,V,0.514,"5,4,1,5"
6,vi,0.17400000000000002,"5,4,1,6"
4,IV,0.133,"5,4,1,4"
6,vi,0.324,"5,4,5,6"
1,I,0.276,"5,4,5,1"
4,IV,0.264,"5,4,5,4"
5,V,0.523,"5,4,6,5"
1,I,0.261,"5,4,6,1"
4,IV,0.07200000000000001,"5,4,6,4"
6,vi,0.301,"5,4,3,6"
2,ii,0.216,"5,4,3,2"
4,IV,0.19,"5,4,3,4"
5,V,0.08,"5,4,3,5"
1,I,0.07,"5,4,3,1"
1,I,0.501,"5,2,4,1"
5,V,0.229,"5,2,4,5"
6,vi,0.161,"5,2,4,6"
1,I,0.379,"5,2,6,1"
4,IV,0.289,"5,2,6,4"
5,V,0.162,"5,2,6,5"
5,V,0.531,"5,2,1,5"
6,vi,0.149,"5,2,1,6"
4,IV,0.099,"5,2,1,4"
2,ii,0.089,"5,2,1,2"
2,ii,0.5,"5,2,5,2"
1,I,0.193,"5,2,5,1"
6,vi,0.096,"5,2,5,6"
4,IV,0.07,"5,2,5,4"
4,IV,0.77,"5,2,3,4"
6,vi,0.089,"5,2,3,6"
