chord_ID,chord_HTML,probability,child_path
5/5,V/V,0.014,"3,5/5"
5,V,0.127,"27,5"
57,V<sup>7</sup>,0.113,"27,57"
37,iii<sup>7</sup>,0.10200000000000001,"27,37"
67,vi<sup>7</sup>,0.066,"27,67"
4,IV,0.065,"27,4"
1,I,0.062,"27,1"
16,I<sup>6</sup>,0.048,"27,16"
6,vi,0.045,"27,6"
47,IV<sup>7</sup>,0.042,"27,47"
3,iii,0.025,"27,3"
57/6,V<sup>7</sup>/vi,0.021,"27,57/6"
2,ii,0.018000000000000002,"27,2"
5/6,V/vi,0.016,"27,5/6"
17,I<sup>7</sup>,0.016,"27,17"
243,ii<sup>4</sup><sub>3</sub>,0.013000000000000001,"27,243"
564,V<sup>6</sup><sub>4</sub>,0.011,"27,564"
66,vi<sup>6</sup>,0.01,"27,66"
5,V,0.211,"47,5"
37,iii<sup>7</sup>,0.098,"47,37"
6,vi,0.073,"47,6"
1,I,0.068,"47,1"
27,ii<sup>7</sup>,0.045,"47,27"
4,IV,0.039,"47,4"
17,I<sup>7</sup>,0.036000000000000004,"47,17"
3,iii,0.035,"47,3"
67,vi<sup>7</sup>,0.033,"47,67"
365,iii<sup>6</sup><sub>5</sub>,0.03,"47,365"
265,ii<sup>6</sup><sub>5</sub>,0.029,"47,265"
2,ii,0.027,"47,2"
57/6,V<sup>7</sup>/vi,0.023,"47,57/6"
57,V<sup>7</sup>,0.023,"47,57"
164,I<sup>6</sup><sub>4</sub>,0.018000000000000002,"47,164"
542,V<sup>4</sup><sub>2</sub>,0.016,"47,542"
16,I<sup>6</sup>,0.016,"47,16"
664,vi<sup>6</sup><sub>4</sub>,0.01,"47,664"
5,V,0.146,"67,5"
4,IV,0.095,"67,4"
27,ii<sup>7</sup>,0.094,"67,27"
37,iii<sup>7</sup>,0.056,"67,37"
6,vi,0.054,"67,6"
47,IV<sup>7</sup>,0.054,"67,47"
1,I,0.049,"67,1"
164,I<sup>6</sup><sub>4</sub>,0.027,"67,164"
2,ii,0.025,"67,2"
3,iii,0.015,"67,3"
642,vi<sup>4</sup><sub>2</sub>,0.015,"67,642"
17,I<sup>7</sup>,0.014,"67,17"
57/5,V<sup>7</sup>/V,0.013000000000000001,"67,57/5"
56,V<sup>6</sup>,0.013000000000000001,"67,56"
16,I<sup>6</sup>,0.012,"67,16"
57,V<sup>7</sup>,0.011,"67,57"
365,iii<sup>6</sup><sub>5</sub>,0.01,"67,365"
5/5,V/V,0.01,"67,5/5"
4,IV,0.335,"16,4"
1,I,0.11,"16,1"
2,ii,0.068,"16,2"
5,V,0.065,"16,5"
27,ii<sup>7</sup>,0.064,"16,27"
47,IV<sup>7</sup>,0.038,"16,47"
6,vi,0.03,"16,6"
564,V<sup>6</sup><sub>4</sub>,0.029,"16,564"
164,I<sup>6</sup><sub>4</sub>,0.029,"16,164"
26,ii<sup>6</sup>,0.022,"16,26"
265,ii<sup>6</sup><sub>5</sub>,0.015,"16,265"
3,iii,0.011,"16,3"
5/5,V/V,0.01,"16,5/5"
67,vi<sup>7</sup>,0.01,"16,67"
6,vi,0.275,"56,6"
1,I,0.271,"56,1"
5,V,0.064,"56,5"
4,IV,0.063,"56,4"
46,IV<sup>6</sup>,0.045,"56,46"
67,vi<sup>7</sup>,0.039,"56,67"
2,ii,0.034,"56,2"
66,vi<sup>6</sup>,0.024,"56,66"
564,V<sup>6</sup><sub>4</sub>,0.02,"56,564"
b7,&#9837;VII,0.015,"56,b7"
464,IV<sup>6</sup><sub>4</sub>,0.011,"56,464"
6,vi,0.507,"5/6,6"
4,IV,0.17,"5/6,4"
2,ii,0.032,"5/6,2"
1,I,0.029,"5/6,1"
57/6,V<sup>7</sup>/vi,0.026000000000000002,"5/6,57/6"
56/6,V<sup>6</sup>/vi,0.019,"5/6,56/6"
564/6,V<sup>6</sup><sub>4</sub>/vi,0.019,"5/6,564/6"
27,ii<sup>7</sup>,0.017,"5/6,27"
664,vi<sup>6</sup><sub>4</sub>,0.015,"5/6,664"
67,vi<sup>7</sup>,0.014,"5/6,67"
66,vi<sup>6</sup>,0.013000000000000001,"5/6,66"
47,IV<sup>7</sup>,0.012,"5/6,47"
5,V,0.011,"5/6,5"
67,vi<sup>7</sup>,0.146,"37,67"
6,vi,0.14400000000000002,"37,6"
47,IV<sup>7</sup>,0.134,"37,47"
4,IV,0.108,"37,4"
27,ii<sup>7</sup>,0.107,"37,27"
5,V,0.03,"37,5"
3,iii,0.025,"37,3"
57/2,V<sup>7</sup>/ii,0.025,"37,57/2"
1,I,0.016,"37,1"
2,ii,0.013000000000000001,"37,2"
b37,&#9837;III<sup>7</sup>,0.01,"37,b37"
564,V<sup>6</sup><sub>4</sub>,0.01,"37,564"
5/2,V/ii,0.01,"37,5/2"
1,I,0.164,"164,1"
4,IV,0.151,"164,4"
5,V,0.128,"164,5"
6,vi,0.073,"164,6"
57,V<sup>7</sup>,0.042,"164,57"
16,I<sup>6</sup>,0.041,"164,16"
47,IV<sup>7</sup>,0.034,"164,47"
67,vi<sup>7</sup>,0.019,"164,67"
27,ii<sup>7</sup>,0.018000000000000002,"164,27"
46,IV<sup>6</sup>,0.016,"164,46"
3,iii,0.014,"164,3"
56,V<sup>6</sup>,0.014,"164,56"
L26,II<sup>6</sup>,0.011,"164,L26"
b6,&#9837;VI,0.011,"164,b6"
464,IV<sup>6</sup><sub>4</sub>,0.01,"164,464"
57/2,V<sup>7</sup>/ii,0.01,"164,57/2"
1,I,0.374,"57,1"
5,V,0.067,"57,5"
17,I<sup>7</sup>,0.056,"57,17"
4,IV,0.042,"57,4"
542,V<sup>4</sup><sub>2</sub>,0.042,"57,542"
6,vi,0.039,"57,6"
67,vi<sup>7</sup>,0.039,"57,67"
27,ii<sup>7</sup>,0.035,"57,27"
164,I<sup>6</sup><sub>4</sub>,0.03,"57,164"
37,iii<sup>7</sup>,0.018000000000000002,"57,37"
2,ii,0.015,"57,2"
665,vi<sup>6</sup><sub>5</sub>,0.014,"57,665"
16,I<sup>6</sup>,0.012,"57,16"
642,vi<sup>4</sup><sub>2</sub>,0.011,"57,642"
47,IV<sup>7</sup>,0.011,"57,47"
543,V<sup>4</sup><sub>3</sub>,0.01,"57,543"
365,iii<sup>6</sup><sub>5</sub>,0.01,"57,365"
57/4,V<sup>7</sup>/IV,0.01,"57,57/4"
4,IV,0.227,"b7,4"
1,I,0.202,"b7,1"
6,vi,0.111,"b7,6"
5,V,0.057,"b7,5"
46,IV<sup>6</sup>,0.047,"b7,46"
b3,&#9837;III,0.034,"b7,b3"
2,ii,0.025,"b7,2"
7,vii&deg;,0.015,"b7,7"
b6,&#9837;VI,0.014,"b7,b6"
L7,vii,0.012,"b7,L7"
464/4,IV<sup>6</sup><sub>4</sub>/IV,0.012,"b7,464/4"
b1,i,0.011,"b7,b1"
67,vi<sup>7</sup>,0.011,"b7,67"
